tj_id,c,1b,2b,ss,3b,of,util,sp,rp
konnorgriffin,False,False,False,True,False,False,True,False,False
sungmunsong,False,False,False,False,True,False,True,False,False
riverryan,False,False,False,False,False,False,False,True,False
chasedelauter,False,False,False,False,False,True,True,False,False
branthurter,False,False,False,False,False,False,False,False,True
maxkepler,False,False,False,False,False,True,True,False,False
tajbradley,False,False,False,False,False,False,False,True,False
loganohoppe,True,False,False,False,False,False,True,False,False
aaronbummer,False,False,False,False,False,False,False,False,True
yoendrysgomez,False,False,False,False,False,False,False,True,True
jakobjunis,False,False,False,False,False,False,False,False,True
johanoviedo,False,False,False,False,False,False,False,True,False
joshbell,False,True,False,False,False,False,True,False,False
juanmejia,False,False,False,False,False,False,False,False,True
yoanmoncada,False,False,False,False,True,False,True,False,False
tommykahnle,False,False,False,False,False,False,False,False,True
tristoncasas,False,True,False,False,False,False,True,False,False
tannerbanks,False,False,False,False,False,False,False,False,True
michaelsoroka,False,False,False,False,False,False,False,True,False
bonaylor,True,False,False,False,False,False,True,False,False
justinwilson,False,False,False,False,False,False,False,False,True
jordanwalker,False,False,False,False,False,True,True,False,False
huascarbrazoban,False,False,False,False,False,False,False,False,True
joelpeguero,False,False,False,False,False,False,False,False,True
michaelkelly,False,False,False,False,False,False,False,False,True
lanethomas,False,False,False,False,False,True,True,False,False
davidmorgan,False,False,False,False,False,False,False,False,True
tylerwells,False,False,False,False,False,False,False,True,False
mikevasil,False,False,False,False,False,False,False,False,True
